Lp,H,t1,t2,t3,t4,t5
1,0.5,0.319,0.319,0.319,0.319,0.319
2,0.6,0.348,0.348,0.349,0.349,0.348
3,0.7,0.376,0.376,0.376,0.376,0.377
4,0.8,0.404,0.403,0.403,0.403,0.403
5,0.9,0.428,0.428,0.429,0.428,0.429
6,1,0.452,0.452,0.453,0.452,0.452
7,1.1,0.472,0.474,0.473,0.473,0.473
8,1.2,0.495,0.494,0.495,0.494,0.493
9,1.3,0.515,0.516,0.516,0.516,0.516
10,1.4,0.534,0.534,0.534,0.534,0.535
